epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8823,0.99401,2.24624,1.11178,0.45183,0.45108,0.38755,0.2778,1.14473,2.26464,1.12424,0.000325203,0.000325203,0.0678049
2,53.566,0.84623,1.18894,0.98799,0.43787,0.504,0.38588,0.30746,0.78346,2.15386,0.97481,0.000657224,0.000657224,0.0348036
3,76.9157,0.81068,0.97588,0.96978,0.6689,0.67,0.67287,0.51874,0.74914,1.03317,0.95546,0.00098398,0.00098398,0.00179699
4,100.661,0.78175,0.95247,0.96228,0.68312,0.67743,0.6981,0.55352,0.68383,0.97366,0.92457,0.000982162,0.000982162,0.000982162
5,125.638,0.74552,0.86654,0.94693,0.73139,0.68576,0.75257,0.60808,0.69444,0.88912,0.93308,0.000968436,0.000968436,0.000968436
6,150.008,0.72224,0.78155,0.93498,0.6997,0.69655,0.7185,0.57455,0.68859,0.96528,0.92685,0.00095098,0.00095098,0.00095098
7,173.545,0.72774,0.79731,0.93282,0.73079,0.75261,0.79169,0.64812,0.67212,0.71183,0.9114,0.000929932,0.000929932,0.000929932
8,197.522,0.7364,0.74926,0.93692,0.73082,0.72226,0.77815,0.63241,0.66874,0.74922,0.91829,0.000905463,0.000905463,0.000905463
9,221.722,0.68947,0.72433,0.92218,0.78396,0.69841,0.80254,0.65395,0.66196,0.7114,0.91043,0.00087777,0.00087777,0.00087777
10,246.694,0.67977,0.72886,0.91351,0.69782,0.71052,0.76366,0.63093,0.64988,0.78113,0.90392,0.000847076,0.000847076,0.000847076
11,271.188,0.69198,0.7109,0.9157,0.74771,0.73835,0.80249,0.65182,0.66173,0.71781,0.9021,0.000813627,0.000813627,0.000813627
12,294.181,0.6847,0.66201,0.91002,0.7503,0.76217,0.81517,0.66748,0.6598,0.62239,0.90652,0.000777694,0.000777694,0.000777694
13,317.941,0.6681,0.67472,0.90752,0.71955,0.72886,0.74255,0.61321,0.6387,0.69296,0.89629,0.000739565,0.000739565,0.000739565
14,342.768,0.67735,0.66892,0.90849,0.80752,0.71964,0.83163,0.68913,0.63364,0.65121,0.89312,0.000699547,0.000699547,0.000699547
15,368.428,0.66853,0.6537,0.91064,0.80375,0.75742,0.83928,0.70003,0.62085,0.6171,0.8917,0.000657963,0.000657963,0.000657963
16,392.052,0.63879,0.6066,0.89732,0.73274,0.78395,0.8221,0.69252,0.60897,0.60602,0.89454,0.000615148,0.000615148,0.000615148
17,416.989,0.63537,0.60916,0.89697,0.78432,0.77353,0.84192,0.71105,0.62032,0.56512,0.8957,0.000571445,0.000571445,0.000571445
18,442.272,0.62998,0.58947,0.89313,0.77428,0.80353,0.85742,0.71962,0.60794,0.56713,0.8867,0.000527208,0.000527208,0.000527208
19,465.453,0.61835,0.56411,0.88902,0.77077,0.81308,0.85866,0.72878,0.60087,0.5418,0.88123,0.000482792,0.000482792,0.000482792
20,488.339,0.61452,0.57148,0.88799,0.80329,0.79269,0.85564,0.72606,0.59531,0.54909,0.88145,0.000438555,0.000438555,0.000438555
21,514.148,0.60432,0.5366,0.8837,0.7961,0.7941,0.85734,0.72365,0.59524,0.5291,0.89025,0.000394852,0.000394852,0.000394852
22,539.321,0.60441,0.54606,0.88614,0.77672,0.81895,0.85884,0.73289,0.59104,0.52447,0.88773,0.000352037,0.000352037,0.000352037
23,562.255,0.59331,0.52503,0.87678,0.81877,0.79697,0.86298,0.73323,0.57747,0.5077,0.87475,0.000310453,0.000310453,0.000310453
24,586.334,0.58546,0.51641,0.87758,0.80051,0.79544,0.85411,0.72858,0.57801,0.50632,0.8759,0.000270435,0.000270435,0.000270435
25,611.229,0.60802,0.53389,0.8808,0.82407,0.78385,0.86467,0.74109,0.57896,0.52059,0.88135,0.000232306,0.000232306,0.000232306
26,654.019,0.54538,0.48895,0.85043,0.80201,0.81106,0.86879,0.74232,0.57478,0.49924,0.87421,0.000196373,0.000196373,0.000196373
27,678.174,0.5412,0.48707,0.85055,0.81966,0.77542,0.86349,0.73695,0.57127,0.50481,0.87177,0.000162924,0.000162924,0.000162924
28,702.371,0.52541,0.43444,0.84615,0.79288,0.81384,0.86495,0.73676,0.57026,0.50655,0.87288,0.00013223,0.00013223,0.00013223
29,727.007,0.52479,0.4543,0.84916,0.79156,0.82749,0.87192,0.74953,0.56017,0.48977,0.86841,0.000104537,0.000104537,0.000104537
30,751.877,0.51618,0.43698,0.84331,0.78823,0.82981,0.87215,0.74558,0.56333,0.48458,0.87001,8.00678e-05,8.00678e-05,8.00678e-05
31,776.527,0.51481,0.40783,0.83767,0.7969,0.81159,0.87237,0.74812,0.55993,0.47808,0.87055,5.90204e-05,5.90204e-05,5.90204e-05
32,798.853,0.52834,0.42479,0.84004,0.79011,0.83268,0.87069,0.74661,0.56062,0.48441,0.86983,4.15637e-05,4.15637e-05,4.15637e-05
33,822.411,0.51652,0.41543,0.8428,0.79067,0.83019,0.87057,0.74709,0.56075,0.48219,0.87043,2.78384e-05,2.78384e-05,2.78384e-05
34,847.464,0.50185,0.38914,0.83531,0.79118,0.82372,0.86931,0.74551,0.56277,0.48422,0.87104,1.79549e-05,1.79549e-05,1.79549e-05
35,872.384,0.50817,0.4083,0.83993,0.79868,0.81963,0.87028,0.74684,0.56133,0.47866,0.87087,1.19927e-05,1.19927e-05,1.19927e-05
